sample_index,true_label,number_of_agents_correct,number_of_agents_wrong,trust_selected_agent,trust_prediction,trust_correct,General Traffic Agent_prediction,General Traffic Agent_correct,Attack Recall Agent_prediction,Attack Recall Agent_correct,Normal Behavior Agent_prediction,Normal Behavior Agent_correct,Hard-Case Agent_prediction,Hard-Case Agent_correct
67,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
68,1,4,0,Attack Recall Agent,1,True,1,True,1,True,1,True,1,True
69,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
70,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
71,0,2,2,Hard-Case Agent,0,True,1,False,1,False,0,True,0,True
72,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
73,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
74,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
75,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
76,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
77,0,2,2,Hard-Case Agent,0,True,1,False,1,False,0,True,0,True
78,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
79,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
80,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
81,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
82,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
83,0,4,0,General Traffic Agent,0,True,0,True,0,True,0,True,0,True
84,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
85,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
86,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
87,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
88,0,3,1,Normal Behavior Agent,0,True,0,True,1,False,0,True,0,True
89,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
90,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
91,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
92,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
93,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
94,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
95,0,3,1,Normal Behavior Agent,0,True,0,True,0,True,0,True,1,False
96,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
97,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
98,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
99,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
100,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
101,0,3,1,Normal Behavior Agent,0,True,0,True,1,False,0,True,0,True
102,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
103,0,3,1,Normal Behavior Agent,0,True,0,True,0,True,0,True,1,False
104,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
105,0,2,2,Hard-Case Agent,0,True,1,False,1,False,0,True,0,True
106,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
107,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
108,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
109,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
110,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
111,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
112,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
113,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
114,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
115,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
116,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
117,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
118,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
119,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
120,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
121,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
122,1,3,1,Hard-Case Agent,1,True,1,True,0,False,1,True,1,True
123,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
124,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
125,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
126,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
127,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
128,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
129,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
130,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
131,1,2,2,Normal Behavior Agent,0,False,0,False,1,True,0,False,1,True
132,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
133,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
134,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
135,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
136,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
137,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
138,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
139,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
140,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
141,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
142,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
143,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
144,1,4,0,Attack Recall Agent,1,True,1,True,1,True,1,True,1,True
145,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
146,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
147,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
148,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
149,1,1,3,Hard-Case Agent,1,True,0,False,0,False,0,False,1,True
150,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
151,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
152,0,2,2,Hard-Case Agent,0,True,1,False,0,True,1,False,0,True
153,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
154,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
155,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
156,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
157,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
158,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
159,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
160,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
161,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
162,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
163,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
164,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
165,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
166,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
167,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
168,1,4,0,Attack Recall Agent,1,True,1,True,1,True,1,True,1,True
169,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
170,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
171,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
172,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
173,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
174,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
175,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
176,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
177,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
178,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
179,0,3,1,Normal Behavior Agent,0,True,0,True,1,False,0,True,0,True
180,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
181,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
182,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
183,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
184,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
185,1,1,3,Hard-Case Agent,1,True,0,False,0,False,0,False,1,True
186,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
187,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
188,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
189,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
190,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
191,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
192,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
193,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
194,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
195,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
196,0,3,1,Normal Behavior Agent,0,True,0,True,1,False,0,True,0,True
197,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
198,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
199,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
200,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
201,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
202,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
203,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
204,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
205,0,3,1,Normal Behavior Agent,0,True,0,True,0,True,0,True,1,False
206,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
207,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
208,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
209,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
210,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
211,0,3,1,Normal Behavior Agent,0,True,0,True,0,True,0,True,1,False
212,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
213,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
214,0,3,1,Hard-Case Agent,0,True,0,True,0,True,1,False,0,True
215,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
216,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
217,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
218,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
219,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
220,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
221,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
222,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
223,0,2,2,Normal Behavior Agent,0,True,0,True,1,False,0,True,1,False
224,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
225,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
226,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
227,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
228,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
229,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
230,0,2,2,Hard-Case Agent,0,True,1,False,1,False,0,True,0,True
231,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
232,0,2,2,Hard-Case Agent,0,True,1,False,1,False,0,True,0,True
233,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
234,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
235,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
236,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
237,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
238,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
239,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
240,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
241,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
242,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
243,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
244,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
245,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
246,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
247,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
248,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
249,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
250,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
251,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
252,0,2,2,Hard-Case Agent,0,True,1,False,1,False,0,True,0,True
253,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
254,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
255,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
256,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
257,0,2,2,Hard-Case Agent,0,True,1,False,1,False,0,True,0,True
258,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
259,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
260,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
261,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
262,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
263,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
264,0,1,3,Hard-Case Agent,1,False,0,True,1,False,1,False,1,False
265,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
266,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
267,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
268,1,1,3,Hard-Case Agent,1,True,0,False,0,False,0,False,1,True
269,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
270,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
271,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
272,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
273,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
274,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
275,1,4,0,Attack Recall Agent,1,True,1,True,1,True,1,True,1,True
276,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
277,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
278,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
279,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
280,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
281,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
282,1,2,2,Hard-Case Agent,1,True,0,False,0,False,1,True,1,True
283,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
284,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
285,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
286,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
287,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
288,0,3,1,Normal Behavior Agent,0,True,0,True,0,True,0,True,1,False
289,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
290,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
291,1,2,2,Hard-Case Agent,1,True,0,False,1,True,0,False,1,True
292,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
293,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
294,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
295,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
296,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
297,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
298,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
299,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
300,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
301,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
302,1,2,2,Hard-Case Agent,1,True,0,False,0,False,1,True,1,True
303,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
304,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
305,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
306,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
307,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
308,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
309,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
310,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
311,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
312,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
313,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
314,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
315,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
316,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
317,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
318,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
319,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
320,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
321,1,2,2,Hard-Case Agent,1,True,0,False,1,True,0,False,1,True
322,0,2,2,Normal Behavior Agent,0,True,0,True,1,False,0,True,1,False
323,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
324,0,3,1,Normal Behavior Agent,0,True,0,True,0,True,0,True,1,False
325,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
326,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
327,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
328,0,2,2,Hard-Case Agent,0,True,1,False,1,False,0,True,0,True
329,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
330,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
331,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
332,0,2,2,Hard-Case Agent,0,True,1,False,1,False,0,True,0,True
333,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
334,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
335,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
336,1,3,1,Hard-Case Agent,1,True,1,True,1,True,0,False,1,True
337,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
338,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
339,0,3,1,Normal Behavior Agent,0,True,0,True,0,True,0,True,1,False
340,1,2,2,Hard-Case Agent,1,True,0,False,1,True,0,False,1,True
341,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
342,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
343,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
344,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
345,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
346,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
347,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
348,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
349,1,4,0,Hard-Case Agent,1,True,1,True,1,True,1,True,1,True
350,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
351,0,4,0,Normal Behavior Agent,0,True,0,True,0,True,0,True,0,True
352,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
353,0,3,1,Hard-Case Agent,0,True,0,True,1,False,0,True,0,True
354,0,4,0,Hard-Case Agent,0,True,0,True,0,True,0,True,0,True
